"Campaign name",Region,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
TeeFusion_Sales_Scaling,Chandigarh,248,294,1.18548387,INR,33.23556824,4,8.30889206,8,4.15444603,2.72108844,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Jharkhand,168,194,1.1547619,INR,33.11212407,11,3.0101931,10,3.31121241,5.15463918,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Jammu and Kashmir",184,280,1.52173913,INR,32.53371058,12,2.71114255,13,2.50259312,4.64285714,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Sikkim,448,717,1.60044643,INR,31.79227589,82,0.38771068,80,0.39740345,11.15760112,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Odisha,280,303,1.08214286,INR,31.59693204,6,5.26615534,8,3.94961651,2.64026403,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Delhi,800,955,1.19375,INR,31.58,7,4.51142857,8,3.9475,0.83769634,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Tripura,48,84,1.75,INR,31.3335737,3,10.44452457,4,7.83339342,4.76190476,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Andhra Pradesh",336,377,1.12202381,INR,30.1834906,3,10.06116353,6,5.03058177,1.59151194,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","Tamil Nadu",960,1403,1.46145833,INR,30.13,5,6.026,9,3.34777778,0.64148254,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Kerala,334,334,1,INR,29.67224583,9,3.2969162,12,2.47268715,3.59281437,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Himachal Pradesh",1799,2695,1.49805447,INR,29.3076342,65,0.45088668,65,0.45088668,2.41187384,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","Andhra Pradesh",226,244,1.07964602,INR,28.96185784,3,9.65395261,4,7.24046446,1.63934426,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Assam,101,110,1.08910891,INR,28.64217487,2,14.32108743,2,14.32108743,1.81818182,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Jharkhand,3488,3863,1.10751147,INR,28.6337203,25,1.14534881,25,1.14534881,0.64716542,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Odisha,3136,3782,1.2059949,INR,28.5837138,18,1.5879841,18,1.5879841,0.47593866,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Delhi,640,680,1.0625,INR,28.52892419,43,0.66346335,43,0.66346335,6.32352941,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Telangana,2080,2616,1.25769231,INR,28.16365922,28,1.00584497,28,1.00584497,1.07033639,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Andhra Pradesh",2336,3200,1.36986301,INR,28.04364363,25,1.12174575,25,1.12174575,0.78125,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Telangana,579,579,1,INR,27.88917256,49,0.56916679,45,0.61975939,7.77202073,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Punjab region",40,51,1.275,INR,27.79,10,2.779,12,2.31583333,23.52941176,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Jharkhand,312,341,1.09294872,INR,26.83533854,5,5.36706771,5,5.36706771,1.46627566,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","Madhya Pradesh",1872,1972,1.0534188,INR,26.03,13,2.00230769,17,1.53117647,0.86206897,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Gujarat,177,218,1.23163842,INR,25.84391633,2,12.92195817,2,12.92195817,0.91743119,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Karnataka,1168,1318,1.12842466,INR,25.62,8,3.2025,13,1.97076923,0.98634294,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Tripura,64,75,1.171875,INR,25.36338999,4,6.3408475,4,6.3408475,5.33333333,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Sikkim,16,65,4.0625,INR,25.26337662,2,12.63168831,3,8.42112554,4.61538462,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Punjab region",1504,2157,1.43417553,INR,24.9732447,12,2.08110373,12,2.08110373,0.55632823,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Delhi,137,161,1.17518248,INR,24.80456316,2,12.40228158,2,12.40228158,1.24223602,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Chandigarh,64,194,3.03125,INR,23.16264178,4,5.79066044,5,4.63252836,2.57731959,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Maharashtra,110,124,1.12727273,INR,22.89653605,16,1.4310335,16,1.4310335,12.90322581,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Odisha,156,206,1.32051282,INR,22.78146138,7,3.25449448,10,2.27814614,4.85436893,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","Punjab region",262,273,1.04198473,INR,22.63145176,4,5.65786294,5,4.52629035,1.83150183,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Haryana,32,39,1.21875,INR,22.19,6,3.69833333,8,2.77375,20.51282051,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Haryana,944,1124,1.19067797,INR,22.12,3,7.37333333,5,4.424,0.44483986,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Himachal Pradesh",112,213,1.90178571,INR,22.09251972,6,3.68208662,7,3.15607425,3.28638498,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Mizoram,47,47,1,INR,21.46286866,1,21.46286866,1,21.46286866,2.12765957,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Uttarakhand,2400,2696,1.12333333,INR,21.4127821,18,1.18959901,18,1.18959901,0.66765579,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","Tamil Nadu",288,313,1.08680556,INR,21.26136387,6,3.54356064,5,4.25227277,1.59744409,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Andhra Pradesh",20,26,1.3,INR,20.76,2,10.38,2,10.38,7.69230769,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Mizoram,400,489,1.2225,INR,20.40146046,48,0.42503043,48,0.42503043,9.81595092,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Assam,1240,1447,1.16693548,INR,20.38,15,1.35866667,25,0.8152,1.72771251,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",Maharashtra,80,101,1.2625,INR,19.83140525,16,1.23946283,12,1.6526171,11.88118812,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Meghalaya,768,775,1.00911458,INR,19.79231601,34,0.58212694,37,0.53492746,4.77419355,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Assam,180,230,1.27777778,INR,19.54125353,7,2.79160765,9,2.17125039,3.91304348,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Telangana,856,998,1.16588785,INR,18.82,4,4.705,8,2.3525,0.80160321,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Puducherry,771,1021,1.32425422,INR,18.54341053,41,0.45227831,41,0.45227831,4.01567091,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Chandigarh,111,111,1,INR,18.41246095,3,6.13748698,4,4.60311524,3.6036036,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","Andhra Pradesh",712,864,1.21348315,INR,18.37,4,4.5925,8,2.29625,0.92592593,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Chandigarh,240,346,1.44166667,INR,18.13129795,57,0.31809295,57,0.31809295,16.47398844,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Odisha,20,23,1.15,INR,17.8,4,4.45,4,4.45,17.39130435,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Jharkhand,1288,1396,1.08385093,INR,17.58,9,1.95333333,14,1.25571429,1.00286533,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Kerala,87,119,1.36781609,INR,17.47912207,3,5.82637402,4,4.36978052,3.36134454,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Kerala,194,212,1.09278351,INR,17.37111432,2,8.68555716,4,4.34277858,1.88679245,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",Rajasthan,53,65,1.22641509,INR,16.41911892,12,1.36825991,13,1.26300915,20,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Kerala,768,801,1.04296875,INR,16.41,12,1.3675,12,1.3675,1.49812734,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,"Punjab region",106,106,1,INR,16.31273301,1,16.31273301,2,8.15636651,1.88679245,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Uttarakhand,576,692,1.20138889,INR,16.25,2,8.125,3,5.41666667,0.43352601,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25","Madhya Pradesh",38,41,1.07894737,INR,16.23846847,9,1.80427427,9,1.80427427,21.95121951,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy","Andhra Pradesh",35,46,1.31428571,INR,16.11996792,1,16.11996792,1,16.11996792,2.17391304,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Rajasthan,64,73,1.140625,INR,15.79213263,9,1.7546814,9,1.7546814,12.32876712,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Gujarat,75,85,1.13333333,INR,15.43228586,12,1.28602382,13,1.18709891,15.29411765,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Tripura,835,1501,1.79760479,INR,15.29705736,40,0.38242643,38,0.40255414,2.53164557,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Bihar,76,82,1.07894737,INR,15.12384577,9,1.68042731,9,1.68042731,10.97560976,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Manipur,256,351,1.37109375,INR,14.72,6,2.45333333,8,1.84,2.27920228,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Dadra and Nagar Haveli",112,220,1.96428571,INR,14.69105168,42,0.34978694,42,0.34978694,19.09090909,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Assam,272,276,1.01470588,INR,14.45519543,7,2.06502792,7,2.06502792,2.53623188,,,,,,2025-02-01,2025-08-04
