"Campaign name",Region,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Gujarat,30,34,1.13333333,INR,0.47,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Delhi,8,9,1.125,INR,0.47,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Manipur,3,3,1,INR,0.46266014,1,0.46266014,1,0.46266014,33.33333333,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",Tripura,1,2,2,INR,0.46166227,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy","Dadra and Nagar Haveli",4,4,1,INR,0.44972012,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Andaman and Nicobar Islands",4,5,1.25,INR,0.43104952,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Lakshadweep,0,6,0,INR,0.41002935,1,0.41002935,1,0.41002935,16.66666667,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Unknown,7,9,1.28571429,INR,0.37976366,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Unknown,0,1,0,INR,0.35085426,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy","Himachal Pradesh",18,22,1.22222222,INR,0.34978232,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","Andaman and Nicobar Islands",0,17,0,INR,0.33,1,0.33,1,0.33,5.88235294,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",Goa,3,3,1,INR,0.32115636,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Andaman and Nicobar Islands",0,32,0,INR,0.32004158,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","Madhya Pradesh",28,34,1.21428571,INR,0.32,1,0.32,1,0.32,2.94117647,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Manipur,1,6,6,INR,0.32,1,0.32,3,0.10666667,50,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Sikkim,2,4,2,INR,0.31001989,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Mizoram,36,36,1,INR,0.29003768,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Goa,1,1,1,INR,0.29,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Meghalaya,10,10,1,INR,0.28981963,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","Punjab region",9,11,1.22222222,INR,0.28,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Telangana,11,14,1.27272727,INR,0.28,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Kerala,5,6,1.2,INR,0.27,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Sikkim,0,24,0,INR,0.26003379,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Meghalaya,1,1,1,INR,0.26,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Lakshadweep,0,2,0,INR,0.22991074,1,0.22991074,1,0.22991074,50,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Manipur,16,16,1,INR,0.22001411,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Unknown,1,1,1,INR,0.21590806,1,0.21590806,1,0.21590806,100,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","Tamil Nadu",10,12,1.2,INR,0.21,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Chandigarh,1,1,1,INR,0.19534539,1,0.19534539,1,0.19534539,100,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Chhattisgarh,12,12,1,INR,0.17,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales","Arunachal Pradesh",2,2,1,INR,0.15422005,1,0.15422005,1,0.15422005,50,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Arunachal Pradesh",1,1,1,INR,0.15,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Unknown,0,9,0,INR,0.13001689,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Mizoram,2,5,2.5,INR,0.13,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Odisha,5,5,1,INR,0.13,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","Andhra Pradesh",11,11,1,INR,0.1,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Arunachal Pradesh",4,14,3.5,INR,0.09021967,,,0,0,0,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25","Andaman and Nicobar Islands",1,1,1,INR,0.08028909,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Sikkim,1,1,1,INR,0.07196935,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Mizoram,3,3,1,INR,0.06168802,1,0.06168802,1,0.06168802,33.33333333,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Uttarakhand,6,6,1,INR,0.06,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Puducherry,1,1,1,INR,0.05140668,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","Jammu and Kashmir",7,9,1.28571429,INR,0.05,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Chandigarh,2,2,1,INR,0.05,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","Himachal Pradesh",4,4,1,INR,0.05,,,0,0,0,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25","Dadra and Nagar Haveli",0,1,0,INR,0.03010841,1,0.03010841,1,0.03010841,100,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Lakshadweep,0,2,0,INR,0.0300039,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Unknown,1,1,1,INR,0.03,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Mizoram,2,2,1,INR,0.03,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Lakshadweep,0,10,0,INR,0.02010126,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","Andaman and Nicobar Islands",1,1,1,INR,0.02000128,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Jharkhand,5,5,1,INR,0.02,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Goa,1,1,1,INR,0.01028134,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Andaman and Nicobar Islands",0,1,0,INR,0.01,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Manipur,1,1,1,INR,0.01,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Assam,3,3,1,INR,0.01,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Dadra and Nagar Haveli",1,1,1,INR,0.01,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Lakshadweep,0,1,0,INR,0.01,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",Tripura,1,1,1,INR,0,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",Nagaland,1,1,1,INR,0,,,0,0,0,,,,,,2025-02-01,2025-08-04
